LOCATION,SUBJECT,MEASURE,TIME,Value,Temperature
AUS,RICE,TONNE_HA,1990,8.314606742,0.549
AUS,WHEAT,TONNE_HA,1990,1.634404053,0.549
AUS,WHEAT,THND_HA,1990,9218.1,0.549
AUS,RICE,THND_TONNE,1990,740.0,0.549
AUS,RICE,THND_HA,1990,89.0,0.549
AUS,WHEAT,THND_TONNE,1990,15066.1,0.549
AUS,MAIZE,THND_HA,1990,51.8,0.549
AUS,MAIZE,THND_TONNE,1990,268.9,0.549
AUS,MAIZE,TONNE_HA,1990,5.191119691,0.549
AUS,SOYBEAN,THND_TONNE,1990,62.0,0.549
AUS,SOYBEAN,TONNE_HA,1990,1.55,0.549
AUS,SOYBEAN,THND_HA,1990,40.0,0.549
AUS,RICE,TONNE_HA,1991,8.394736842,0.82
AUS,WHEAT,TONNE_HA,1991,1.469796322,0.82
AUS,WHEAT,THND_HA,1991,7182.9,0.82
AUS,RICE,THND_TONNE,1991,957.0,0.82
AUS,RICE,THND_HA,1991,114.0,0.82
AUS,WHEAT,THND_TONNE,1991,10557.4,0.82
AUS,MAIZE,THND_HA,1991,44.9,0.82
AUS,MAIZE,THND_TONNE,1991,198.8,0.82
AUS,MAIZE,TONNE_HA,1991,4.427616927,0.82
AUS,SOYBEAN,THND_TONNE,1991,63.0,0.82
AUS,SOYBEAN,TONNE_HA,1991,2.172413793,0.82
AUS,SOYBEAN,THND_HA,1991,29.0,0.82
AUS,RICE,TONNE_HA,1992,8.094339623,0.281
AUS,WHEAT,TONNE_HA,1992,1.781197883,0.281
AUS,WHEAT,THND_HA,1992,8274.6,0.281
AUS,RICE,THND_TONNE,1992,858.0,0.281
AUS,RICE,THND_HA,1992,106.0,0.281
AUS,WHEAT,THND_TONNE,1992,14738.7,0.281
AUS,MAIZE,THND_HA,1992,43.8,0.281
AUS,MAIZE,THND_TONNE,1992,204.1,0.281
AUS,MAIZE,TONNE_HA,1992,4.659817352,0.281
AUS,SOYBEAN,THND_TONNE,1992,51.0,0.281
AUS,SOYBEAN,TONNE_HA,1992,1.59375,0.281
AUS,SOYBEAN,THND_HA,1992,32.0,0.281
AUS,RICE,TONNE_HA,1993,8.336,0.484
AUS,WHEAT,TONNE_HA,1993,1.965752934,0.484
AUS,WHEAT,THND_HA,1993,8383.2,0.484
AUS,RICE,THND_TONNE,1993,1042.0,0.484
AUS,RICE,THND_HA,1993,125.0,0.484
AUS,WHEAT,THND_TONNE,1993,16479.3,0.484
AUS,MAIZE,THND_HA,1993,50.2,0.484
AUS,MAIZE,THND_TONNE,1993,242.4,0.484
AUS,MAIZE,TONNE_HA,1993,4.828685259,0.484
AUS,SOYBEAN,THND_TONNE,1993,81.0,0.484
AUS,SOYBEAN,TONNE_HA,1993,1.975609756,0.484
AUS,SOYBEAN,THND_HA,1993,41.0,0.484
AUS,RICE,TONNE_HA,1994,8.537815126,0.221
AUS,WHEAT,TONNE_HA,1994,1.13567871,0.221
AUS,WHEAT,THND_HA,1994,7890.7,0.221
AUS,RICE,THND_TONNE,1994,1016.0,0.221
AUS,RICE,THND_HA,1994,119.0,0.221
AUS,WHEAT,THND_TONNE,1994,8961.3,0.221
AUS,MAIZE,THND_HA,1994,56.3,0.221
AUS,MAIZE,THND_TONNE,1994,311.1,0.221
AUS,MAIZE,TONNE_HA,1994,5.525754885,0.221
AUS,SOYBEAN,THND_TONNE,1994,28.0,0.221
AUS,SOYBEAN,TONNE_HA,1994,1.555555556,0.221
AUS,SOYBEAN,THND_HA,1994,18.0,0.221
AUS,RICE,TONNE_HA,1995,7.051094891,0.413
AUS,WHEAT,TONNE_HA,1995,1.789874955,0.413
AUS,WHEAT,THND_HA,1995,9220.7,0.413
AUS,RICE,THND_TONNE,1995,966.0,0.413
AUS,RICE,THND_HA,1995,137.0,0.413
AUS,WHEAT,THND_TONNE,1995,16503.9,0.413
AUS,MAIZE,THND_HA,1995,66.7,0.413
AUS,MAIZE,THND_TONNE,1995,397.7,0.413
AUS,MAIZE,TONNE_HA,1995,5.962518741,0.413
